metabolite,platform,super_pathway,sub_pathway,significant_OGTT_OLTT_SLD,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,90,oltt,0.243790159978977,0.00576203486603921,7.69378257873882e-07,6.11386009073367,0.00576203486603921
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,120,oltt,0.262708063177408,0.0246799380644698,7.69378257873882e-07,6.11386009073367,0.0246799380644698
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,180,oltt,0.12331184806712,-0.114716277045818,7.69378257873882e-07,6.11386009073367,0.114716277045818
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,240,oltt,0.0112208613067014,-0.226807263806237,7.69378257873882e-07,6.11386009073367,0.226807263806237
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,0,sld,-0.63118525749697,0,7.76434544928141e-05,4.10989515033427,0
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,60,sld,-0.582243355665067,0.0489419018319028,7.76434544928141e-05,4.10989515033427,0.0489419018319028
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,120,sld,-0.511182064152495,0.120003193344475,7.76434544928141e-05,4.10989515033427,0.120003193344475
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,180,sld,-0.47278819841562,0.15839705908135,7.76434544928141e-05,4.10989515033427,0.15839705908135
2-hydroxy-3-methylvalerate,Metabolon HD4 [nt-ms],Amino Acid,"Leucine, Isoleucine and Valine Metabolism",TRUE,240,sld,-0.518900719336881,0.112284538160089,7.76434544928141e-05,4.10989515033427,0.112284538160089
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,0,ogtt,-0.631402918534128,0,2.83931222693715e-08,7.54678684735437,0
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,15,ogtt,-0.634018658397598,-0.00261573986346941,2.83931222693715e-08,7.54678684735437,0.00261573986346941
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipid,"Fatty Acid, Monohydroxy",TRUE,30,ogtt,-0.751599104318714,-0.120196185784586,2.83931222693715e-08,7.54678684735437,0.120196185784586
