metabolite,platform_name,challenge,time_point,variance_log2fc
alpha-hydroxyisocaproate,Metabolon HD4 [nt-ms],Fasting,1920,2.08533509317176
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,0,0
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,120,0.419697725969503
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,240,0.298924720998433
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,360,0.367834449488258
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,480,0.242137791680192
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,600,0.386184324417466
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,720,0.371288961820043
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,840,1.28740878297925
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,960,0.912923889907209
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Fasting,1920,2.24383218914296
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,0,0
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,120,0.222206186613563
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,240,0.62498682682101
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,360,0.951507293945653
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,480,1.18353322235102
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,600,1.39294075921649
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,720,1.593212137481
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,840,1.67341323511259
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,960,1.74656613742461
catechol sulfate,Metabolon HD4 [nt-ms],Fasting,1920,1.90149609271436
cortisone,Metabolon HD4 [nt-ms],Fasting,0,0
cortisone,Metabolon HD4 [nt-ms],Fasting,120,0.839021814403884
cortisone,Metabolon HD4 [nt-ms],Fasting,240,1.60225624235361
cortisone,Metabolon HD4 [nt-ms],Fasting,360,1.91767039018408
cortisone,Metabolon HD4 [nt-ms],Fasting,480,1.36604572601938
cortisone,Metabolon HD4 [nt-ms],Fasting,600,1.30300603620882
cortisone,Metabolon HD4 [nt-ms],Fasting,720,2.65058929577074
cortisone,Metabolon HD4 [nt-ms],Fasting,840,3.2150989771416
cortisone,Metabolon HD4 [nt-ms],Fasting,960,2.60539883257987
cortisone,Metabolon HD4 [nt-ms],Fasting,1920,0.5866554423831
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,0,0
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,120,0.0675650952711149
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,240,0.861949544875616
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,360,0.325910492351296
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,480,0.240633990847161
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,600,0.370216898956078
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,720,0.819936700644112
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,840,0.501431054953418
gamma-glutamyl-2-aminobutyrate,Metabolon HD4 [nt-ms],Fasting,960,0.33082257864509
