Metabolite,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Assigned_Cluster,Super_Pathway,Sub_Pathway
octadecanedioate,8.0814319786633e-08,0.997404211775312,0.00258535245521532,4.28436041061281e-12,1.46452618537353e-09,2.37105607028665e-10,1.03523442779977e-05,9.0495827670426e-10,2,Lipids,"Fatty Acid, Dicarboxylate"
oleoylcarnitine,0.00221093557043907,0.422068447058503,0.135399778812654,2.48090485764521e-06,0.000189711620745394,5.35416818237283e-05,0.0224975430253415,0.417577561325636,2,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
ornithine,9.43481096742559e-08,0.000549132843851136,0.998354105212517,3.90362273920413e-13,3.74470531505735e-10,3.97692730802657e-11,0.00109666717261526,8.27698045168197e-12,3,Amino Acids,Urea cycle; Arginine and Proline Metabolism
palmitoylcarnitine,0.982927846735973,5.35808720252308e-06,1.59868148852666e-05,2.53311601278718e-08,0.016775814521508,5.75352588065636e-05,0.000217431263109463,1.98735466420438e-09,1,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
pc aa c36:1,0.270076217085565,0.133261081621321,0.200329472729069,0.000339020650819173,0.0487553530109967,0.0140504073713789,0.332653990533315,0.000534456997535429,7,Lipids,Diacylphosphatidylcholine
pc aa c36:2,0.189704967903185,0.165720482880026,0.18316067861897,0.0196886781689513,0.123801399973503,0.0889188935984529,0.203987596422754,0.0250173024341584,7,Lipids,Diacylphosphatidylcholine
phenylacetylcarnitine,1.62985062815416e-08,5.14651713613842e-07,2.60746777524349e-07,7.07276741841785e-11,2.53934184266211e-09,9.25940565751302e-10,8.24353044404401e-08,0.999999122331688,8,Amino Acids,Phenylalanine and Tyrosine Metabolism
phenyllactate (pla),1.44580565966714e-10,2.45675159081445e-09,1.43178105860941e-09,1.15692066798653e-12,2.8967234364514e-11,1.18683018288729e-11,5.61884785796789e-10,0.999999995363009,8,Amino Acids,Phenylalanine and Tyrosine Metabolism
phosphate,3.85413653532379e-06,1.59476589401745e-08,3.1424236186751e-08,4.58424110164977e-08,0.158230349005041,0.841765566289061,1.37307820852997e-07,4.72351331913581e-11,6,Energy,Oxidative Phosphorylation
piperine,0.999999964991876,2.31625094216443e-10,8.85604143848836e-10,1.20894453593052e-13,7.10905303520522e-09,1.01362215586659e-10,2.66803264871964e-08,3.19613047144132e-14,1,Xenobiotics,Food Component/Plant
pregnenolone sulfate,1.31808763340159e-10,3.45735585121926e-09,1.82827735251875e-09,6.80337128596892e-13,2.20791086934777e-11,8.3212345246734e-12,6.16867704207447e-10,0.99999999393461,8,Lipids,Steroid
pro-hydroxy-pro,0.96131769067714,7.81612153738944e-06,2.29288831017366e-05,4.41510809812864e-08,0.0382443211971183,0.000110803627743953,0.000296392222523706,3.1197543439267e-09,1,Amino Acids,Urea cycle; Arginine and Proline Metabolism
proline,0.245182105085432,0.155352892811835,0.205546416486066,0.00131646014881992,0.0746326304499103,0.0297770987662158,0.286213246808595,0.00197914944312596,7,Amino Acids,Urea cycle; Arginine and Proline Metabolism
propionylcarnitine,0.968603717299369,7.12105347429999e-06,2.09808040712522e-05,3.84153275325462e-08,0.0309994623592935,9.39219608965226e-05,0.000274755318404783,2.78916286823077e-09,1,Lipids,Fatty Acid Metabolism (also BCAA Metabolism)
pyruvate,1.62756980128128e-05,0.000927103677456229,0.000407794473782229,4.26731547199696e-08,2.04391669789294e-06,6.77215450470964e-07,0.000104640884633519,0.998541421460812,8,Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
sebacate (decanedioate),9.27437033180867e-05,2.83115100885113e-08,6.82651256506538e-08,1.84774127255232e-09,0.999877876158033,2.87772002118791e-05,5.04485887039138e-07,2.81734357764449e-11,5,Lipids,"Fatty Acid, Dicarboxylate"
suberoyl carnitine,0.24485219433348,0.000153611988172816,0.00120396365530371,1.39090632734389e-09,8.46624001710877e-06,3.89571382973822e-07,0.753781370501643,2.31909387626671e-09,7,Lipids,Fatty Acid Metabolism (Acyl Carnitine)
tetradecanedioate,0.413063172120484,0.000154196840328154,0.00115932623004027,1.67047144601986e-09,1.08852295706041e-05,4.84678555743625e-07,0.585611930635815,2.59473512658004e-09,7,Lipids,"Fatty Acid, Dicarboxylate"
trans-urocanate,2.64921291680695e-09,0.0636172314653954,0.936380085021809,3.34807611339253e-14,2.09391095996333e-11,2.65886773960735e-12,2.68083830747436e-06,1.64401236610467e-12,3,Amino Acids,Histidine Metabolism
trigonelline (n'-methylnicotinate),1.21561950315325e-06,6.32003003297572e-10,1.46935590130108e-09,7.20873043915149e-11,0.999996761397773,2.01096766154172e-06,9.84086007925633e-09,7.5629554598165e-13,5,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
urea,5.96662247453583e-08,8.08365355199923e-10,1.42154292397054e-09,7.05983218811401e-08,2.56751663721818e-05,0.999974187623101,4.71124691117222e-09,4.82514195950318e-12,6,Amino Acids,Urea cycle; Arginine and Proline Metabolism
xanthine,2.13927775354273e-05,4.95754520219895e-07,8.23730737422785e-07,0.000525097235146432,0.00250194526969068,0.996947850737912,2.3901780204371e-06,4.31643696551624e-09,6,Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing"
xanthurenate,5.42547311920959e-10,3.69747930721945e-12,6.95812311197559e-12,3.54890415223691e-11,2.19003241758843e-06,0.999997809351732,2.71441164030514e-11,1.44164172417793e-14,6,Amino Acids,Tryptophan Metabolism
